"Components of Value Added by Industry"
"[Millions of dollars]" 
"Bureau of Economic Analysis" 
"Release Date: March 03, 2017"
"Line","","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997"
"    64","        Gross operating surplus",6006,11119,13443,10176,7748,6316,7510,9871,14960,13047,13823
"    65","      Fabricated metal products",69658,74330,78294,79944,77736,80370,84330,94242,100115,107300,110517
"    66","        Compensation of employees",48007,51964,54370,56217,56389,58294,59550,63598,66769,69035,70801
"    67","        Taxes on production and imports less subsidies",991,1081,1184,1282,1369,1477,1534,1687,1706,1774,1834
"    68","        Gross operating surplus",20661,21286,22741,22445,19978,20598,23246,28957,31640,36491,37882
"    69","      Machinery",69678,80559,88135,89288,83220,85108,86802,91417,97638,100127,102552
"    70","        Compensation of employees",50290,54108,57867,58711,58843,58630,61604,64874,68480,70704,72354
"    71","        Taxes on production and imports less subsidies",1072,1153,1306,1390,1497,1552,1561,1679,1712,1748,1909
"    72","        Gross operating surplus",18316,25298,28962,29188,22879,24926,23636,24864,27446,27675,28289
"    73","      Computer and electronic products",98669,108044,112007,114971,116981,121509,123988,138299,155378,165478,196320
"    74","        Compensation of employees",69732,75925,76643,78514,79661,82130,83020,88007,96295,101447,109731
"    75","        Taxes on production and imports less subsidies",1394,1520,1630,1789,2003,2193,2229,2476,2703,3067,3351
"    76","        Gross operating surplus",27544,30598,33734,34669,35317,37186,38739,47817,56380,60965,83238
"    77","      Electrical equipment, appliances, and components",36106,37808,41649,41960,40879,41823,43604,46791,46111,46600,47096
"    78","        Compensation of employees",23353,22860,23661,23629,22833,23388,24310,25396,25795,26438,27007
"    79","        Taxes on production and imports less subsidies",454,468,516,543,564,609,620,640,632,702,724
"    80","        Gross operating surplus",12300,14481,17472,17788,17482,17826,18675,20755,19683,19459,19366
"    81","      Motor vehicles, bodies and trailers, and parts",71485,76503,75583,64393,64331,76624,89811,104190,104734,108312,112638
"    82","        Compensation of employees",48125,52667,52252,49068,49139,55227,58939,64724,66257,66061,63329
"    83","        Taxes on production and imports less subsidies",855,868,908,965,1095,1184,1219,1350,1418,1527,1608
"    84","        Gross operating surplus",22506,22967,22421,14361,14097,20213,29653,38116,37060,40724,47701
"    85","      Other transportation equipment",67408,66722,67723,70646,77628,67067,64286,53044,51654,60581,62702
"    86","        Compensation of employees",41716,42715,45254,47387,46962,45945,42868,40184,40961,41519,46559
"    87","        Taxes on production and imports less subsidies",679,732,810,879,956,1025,1002,1032,1007,1038,1090
"    88","        Gross operating surplus",25013,23274,21659,22380,29710,20097,20416,11828,9686,18024,15053
"    89","      Furniture and related products",17856,18671,19660,18982,18279,20066,21745,22558,23302,25567,28024
"    90","        Compensation of employees",13868,14713,15106,15212,14473,15518,16294,17247,17708,18313,19649
"    91","        Taxes on production and imports less subsidies",134,145,158,169,178,190,190,208,214,228,246
"    92","        Gross operating surplus",3853,3812,4396,3602,3628,4359,5261,5104,5380,7025,8129
"    93","      Miscellaneous manufacturing",24511,31598,33063,37084,38388,40729,41331,41747,43041,49463,52507
"    94","        Compensation of employees",15707,18287,19384,20339,21161,23121,24611,25598,26531,28593,31485
"    95","        Taxes on production and imports less subsidies",420,464,480,524,582,650,669,741,733,781,816
"    96","        Gross operating surplus",8384,12847,13200,16221,16644,16957,16051,15408,15777,20089,20206
"    97","    Nondurable goods",347168,380810,409079,432742,446563,467773,481207,504378,535089,537295,562747
"    98","      Compensation of employees",194543,206876,217282,226088,233171,246222,251652,258049,262433,265914,274359
"    99","      Taxes on production and imports less subsidies",16557,17256,17925,19288,23271,24472,24732,25399,25833,25690,25816
"    100","      Gross operating surplus",136067,156679,173873,187367,190120,197079,204824,220932,246821,245691,262571
"    101","      Food and beverage and tobacco products",91085,95017,100860,111710,118727,123803,123128,124174,137608,131933,136109
"    102","        Compensation of employees",45127,47108,48978,51693,53908,55966,57107,58479,59405,60647,62596
"    103","        Taxes on production and imports less subsidies",11146,11101,11166,11401,14379,15083,15252,15058,15765,15807,15694
"    104","        Gross operating surplus",34812,36809,40716,48615,50440,52754,50769,50638,62438,55479,57820
"    105","      Textile mills and textile product mills",21155,22065,22981,23471,23893,26723,27053,27257,26419,26865,27443
"    106","        Compensation of employees",16342,17217,17972,17729,17972,19110,19725,20332,20060,19729,20287
"    107","        Taxes on production and imports less subsidies",393,423,462,491,531,558,562,609,616,630,665
"    108","        Gross operating surplus",4420,4424,4548,5252,5390,7055,6767,6315,5743,6506,6490
"    109","      Apparel and leather and allied products",22829,23728,24844,25201,26060,27626,27648,28047,26887,26023,25236
"    110","        Compensation of employees",17635,18451,18772,18904,19304,20164,20345,20336,19632,18953,18056
"    111","        Taxes on production and imports less subsidies",179,187,204,215,231,251,255,268,267,275,266
"    112","        Gross operating surplus",5014,5090,5868,6082,6524,7211,7048,7444,6987,6795,6914
"    113","      Paper products",39376,45576,48266,47423,46872,47762,48825,52002,62462,58270,55592
"    114","        Compensation of employees",23041,24334,25601,26508,27157,28758,29250,29834,30889,30889,31656
"    115","        Taxes on production and imports less subsidies",814,895,1026,1155,1284,1367,1362,1454,1501,1553,1590
"    116","        Gross operating surplus",15520,20347,21639,19759,18430,17637,18212,20714,30071,25828,22346
"    117","      Printing and related support activities",26418,28576,30441,31773,31702,33897,33889,35328,35957,37761,37472
"    118","        Compensation of employees",21624,23854,24940,26478,26515,28169,28656,29683,30969,31615,32053
"    119","        Taxes on production and imports less subsidies",334,370,416,463,482,533,528,558,577,597,613
"    120","        Gross operating surplus",4461,4352,5085,4831,4706,5196,4705,5087,4411,5550,4805
"    121","      Petroleum and coal products",21460,29697,31573,35177,33933,33387,38240,35998,33000,35023,47975
"    122","        Compensation of employees",8335,7852,8349,8691,9099,9369,9397,9527,9614,9948,10586
"    123","        Taxes on production and imports less subsidies",1122,1254,1309,1509,1757,1847,1795,1900,1786,1605,1621
"    124","        Gross operating surplus",12004,20592,21915,24978,23077,22170,27048,24570,21599,23471,35767
"    125","      Chemical products",91896,101189,111015,119161,124310,131018,135105,150534,160721,165904,174914
"    126","        Compensation of employees",40834,45077,48221,50634,53323,56839,57605,58405,59104,61191,64476
"    127","        Taxes on production and imports less subsidies",1881,2259,2564,3213,3697,3892,3994,4384,4159,4024,4034
"    128","        Gross operating surplus",49182,53853,60229,65315,67290,70287,73506,87745,97459,100688,106404
"    129","      Plastics and rubber products",32949,34962,39099,38827,41065,43557,47319,51039,52035,55515,58008
"    130","        Compensation of employees",21606,22984,24449,25452,25893,27848,29567,31453,32761,32942,34650
"    131","        Taxes on production and imports less subsidies",688,767,778,841,910,941,984,1168,1162,1199,1334
"    132","        Gross operating surplus",10655,11212,13873,12535,14262,14768,16768,18417,18112,21374,22025
"    133","  Wholesale trade",286559,315375,336838,348190,362866,380762,403666,444566,461872,493773,530163
"    134","    Compensation of employees",154924,170114,182942,191000,194922,207027,210911,223145,237113,250398,266144
"    135","    Taxes on production and imports less subsidies",68281,76589,80464,84614,93080,96533,102722,116841,115546,119933,123679
"    136","    Gross operating surplus",63355,68671,73432,72576,74864,77202,90034,104580,109212,123442,140341
"    137","  Retail trade",346530,367734,391697,400406,407630,426563,463910,502659,528165,558001,588376
"    138","    Compensation of employees",209572,222542,234649,242601,247517,259680,272077,292332,308384,322098,338973
"    139","    Taxes on production and imports less subsidies",64587,66925,70934,73932,76472,82637,87626,96176,102562,107646,112831
"    140","    Gross operating surplus",72370,78267,86115,83873,83641,84246,104205,114151,117219,128257,136571
"    141","    Motor vehicle and parts dealers","...","...","...","...","...","...","...","...","...","...","..."
"    142","      Compensation of employees","...","...","...","...","...","...","...","...","...","...","..."
"    143","      Taxes on production and imports less subsidies","...","...","...","...","...","...","...","...","...","...","..."
"    144","      Gross operating surplus","...","...","...","...","...","...","...","...","...","...","..."
"    145","    Food and beverage stores","...","...","...","...","...","...","...","...","...","...","..."
"    146","      Compensation of employees","...","...","...","...","...","...","...","...","...","...","..."
"    147","      Taxes on production and imports less subsidies","...","...","...","...","...","...","...","...","...","...","..."
"    148","      Gross operating surplus","...","...","...","...","...","...","...","...","...","...","..."
"    149","    General merchandise stores","...","...","...","...","...","...","...","...","...","...","..."
"    150","      Compensation of employees","...","...","...","...","...","...","...","...","...","...","..."
"    151","      Taxes on production and imports less subsidies","...","...","...","...","...","...","...","...","...","...","..."
"    152","      Gross operating surplus","...","...","...","...","...","...","...","...","...","...","..."
"    153","    Other retail","...","...","...","...","...","...","...","...","...","...","..."
"    154","      Compensation of employees","...","...","...","...","...","...","...","...","...","...","..."
"    155","      Taxes on production and imports less subsidies","...","...","...","...","...","...","...","...","...","...","..."
"    156","      Gross operating surplus","...","...","...","...","...","...","...","...","...","...","..."
"    157","  Transportation and warehousing",153325,163100,168859,175166,184134,194957,209188,227209,234550,245846,256054
"    158","    Compensation of employees",105484,110149,116053,122458,126475,134855,139350,147872,153129,161925,166946
"    159","    Taxes on production and imports less subsidies",5943,6677,6956,7631,9288,9684,9784,11862,11376,8880,12723
"    160","    Gross operating surplus",41896,46274,45852,45076,48368,50419,60054,67475,70042,75040,76385
"    161","    Air transportation",24364,30609,31007,31971,32980,35871,40368,44920,46931,48040,53142
"    162","      Compensation of employees",14738,19454,21387,23476,24260,26004,26868,28151,28777,30356,29767
"    163","      Taxes on production and imports less subsidies",3313,3804,3808,4238,5369,5426,5304,6690,6182,3203,7073
"    164","      Gross operating surplus",6312,7351,5813,4257,3351,4440,8197,10078,11971,14480,16302
"    165","    Rail transportation",20910,21122,18661,18582,20226,20132,20352,21342,21220,20987,20036
"    166","      Compensation of employees",17226,15662,15402,15072,15223,15896,15458,15276,15169,15356,15274
"    167","      Taxes on production and imports less subsidies",-495,-588,-545,-549,-411,-463,-341,-334,-444,-209,-407
"    168","      Gross operating surplus",4179,6047,3804,4060,5413,4700,5235,6401,6495,5841,5169
"    169","    Water transportation",4236,4560,4725,5154,5766,5808,6024,6387,6380,6699,6613
"    170","      Compensation of employees",2727,2674,2722,2940,3079,3142,3204,3218,3219,3356,3131
"    171","      Taxes on production and imports less subsidies",112,144,118,189,213,337,259,392,358,510,640
"    172","      Gross operating surplus",1397,1742,1885,2025,2473,2330,2562,2778,2803,2833,2843
"    173","    Truck transportation",44807,45453,49169,50733,52294,56000,60512,67829,70335,74811,77411
"    174","      Compensation of employees",30205,29890,31723,33525,33826,36171,37976,42212,44440,47697,49401
"    175","      Taxes on production and imports less subsidies",964,1077,1162,1215,1294,1375,1454,1691,1777,1816,2003
"    176","      Gross operating surplus",13637,14486,16285,15993,17173,18454,21081,23926,24118,25298,26008
"    177","    Transit and ground passenger transportation",7471,7985,8332,8998,9586,9940,10602,11228,11876,12882,15059
"    178","      Compensation of employees",4336,4877,5117,5458,5853,6293,6638,7072,7452,7934,8522
"    179","      Taxes on production and imports less subsidies",288,315,342,364,403,441,458,492,515,566,593
"    180","      Gross operating surplus",2847,2792,2874,3176,3329,3204,3505,3664,3907,4383,5945
"    181","    Pipeline transportation",6295,5719,5992,6022,6082,6419,6712,6842,6716,7144,6925
"    182","      Compensation of employees",2559,2606,2689,2753,2848,3118,3234,3285,3083,3409,3507
"    183","      Taxes on production and imports less subsidies",535,577,625,650,716,766,795,860,840,866,906
"    184","      Gross operating surplus",3201,2537,2678,2619,2518,2536,2683,2697,2792,2868,2512
"    185","    Other transportation and support activities",34168,35732,38382,40524,43593,45933,48634,51229,52223,55417,55869
"    186","      Compensation of employees",24644,25295,26855,28470,30299,32087,33134,34803,35919,37970,40026
"    187","      Taxes on production and imports less subsidies",1095,1202,1291,1358,1523,1602,1641,1830,1886,1859,1611
"    188","      Gross operating surplus",8429,9235,10236,10695,11770,12243,13860,14596,14418,15588,14233
"    189","    Warehousing and storage",11074,11920,12590,13181,13609,14854,15984,17433,18869,19866,20997
"    190","      Compensation of employees",9050,9690,10159,10764,11086,12144,12837,13855,15070,15847,17318
"    191","      Taxes on production and imports less subsidies",131,146,155,166,181,200,214,241,262,269,304
"    192","      Gross operating surplus",1893,2084,2277,2251,2341,2511,2932,3336,3537,3750,3375
"    193","  Information",223240,233849,254721,270035,281775,300060,323050,343211,360513,392112,395716
"    194","    Compensation of employees",89167,94687,98677,105658,108821,114646,121746,130762,141006,152772,168967
"    195","    Taxes on production and imports less subsidies",15926,17472,18302,19614,20839,22153,23315,24677,25945,27829,29981
"    196","    Gross operating surplus",118149,121690,137742,144764,152113,163260,177988,187773,193563,211511,196768
"    197","    Publishing industries, except internet (includes software)",45507,48360,53146,54885,57253,61143,64312,69774,70695,81762,97634
"    198","      Compensation of employees",25008,27398,28885,30446,31625,33454,35850,38376,41030,44951,52080
"    199","      Taxes on production and imports less subsidies",512,567,632,706,784,845,912,1008,1066,1180,1363
"    200","      Gross operating surplus",19986,20395,23629,23734,24843,26844,27550,30391,28601,35632,44192
"    201","    Motion picture and sound recording industries",27710,28047,33684,33769,35282,35818,40680,42362,48065,54363,40399
"    202","      Compensation of employees",7849,8292,9163,10627,10823,11222,12347,13283,15047,17267,18777
"    203","      Taxes on production and imports less subsidies",645,744,829,916,1011,1084,1140,1225,1338,1490,1501
"    204","      Gross operating surplus",19216,19011,23692,22225,23448,23512,27193,27854,31680,35605,20120
"    205","    Broadcasting and telecommunications",135838,141994,150972,162808,170116,182059,195650,206525,215101,226971,227369
"    206","      Compensation of employees",47569,49459,50144,53119,54511,57010,59648,63724,67605,71576,77724
"    207","      Taxes on production and imports less subsidies",14511,15870,16523,17633,18644,19787,20799,21932,22999,24597,26535
"    208","      Gross operating surplus",73759,76665,84305,92057,96961,105261,115203,120869,124498,130798,123110
"    209","    Data processing, internet publishing, and other information services",14186,15448,16919,18573,19123,21040,22407,24549,26652,29016,30314
"    210","      Compensation of employees",8741,9538,10485,11466,11862,12961,13901,15379,17324,18978,20386
"    211","      Taxes on production and imports less subsidies",258,291,318,359,400,437,464,513,543,563,582
"    212","      Gross operating surplus",5188,5619,6116,6748,6861,7643,8042,8658,8785,9475,9346
"    213","  Finance, insurance, real estate, rental, and leasing",851277,916803,981645,1047513,1106949,1192701,1256277,1319232,1407407,1490009,1623098
"    214","    Compensation of employees",195961,211764,219612,232845,241539,268005,283384,292026,308060,334494,376300
"    215","    Taxes on production and imports less subsidies",87472,93963,102198,108808,116638,121447,121571,128932,131073,136638,142767
"    216","    Gross operating surplus",567842,611074,659836,705861,748771,803248,851321,898273,968275,1018875,1104031
"    217","    Finance and insurance",283248,302496,323262,347212,382122,419771,440032,453339,488809,527756,578583
"    218","      Compensation of employees",158987,170853,176583,187894,196827,221808,235063,241021,254655,278075,314876
"    219","      Taxes on production and imports less subsidies",13933,15379,16332,17556,18697,19309,20473,21764,22951,23814,25133
"    220","      Gross operating surplus",110325,116262,130347,141761,166597,178654,184495,190553,211204,225866,238574
"    221","      Federal Reserve banks, credit intermediation, and related activities",152540,152691,159685,171854,189680,203692,211196,215121,220343,231268,234130
"    222","        Compensation of employees",64520,69134,72354,75850,76871,83973,88599,90828,94033,101090,109842
"    223","        Taxes on production and imports less subsidies",3267,3688,4210,4686,4915,5315,5528,6158,6294,6897,7294
"    224","        Gross operating surplus",84754,79868,83122,91317,107894,114404,117067,118135,120016,123281,116995
"    225","      Securities, commodity contracts, and investments",41425,43493,45789,43214,46886,53594,63925,58814,72748,94591,120282
"    226","        Compensation of employees",33804,35195,32886,34375,37181,49807,55122,54260,60955,72107,91675
"    227","        Taxes on production and imports less subsidies",614,758,870,959,1078,1175,1356,1530,1645,1809,1945
"    228","        Gross operating surplus",7007,7539,12032,7880,8627,2612,7447,3024,10149,20674,26663
"    229","      Insurance carriers and related activities",81876,99519,111107,124580,137720,153456,154953,169952,185600,191601,216715
"    230","        Compensation of employees",60363,66209,70994,77288,82351,87547,90815,95372,99034,104143,112515
"    231","        Taxes on production and imports less subsidies",9294,10137,10461,11066,11785,11681,12337,12801,13640,13646,14110
"    232","        Gross operating surplus",12218,23173,29652,36226,43583,54229,51802,61779,72925,73812,90091
"    233","      Funds, trusts, and other financial vehicles",7406,6792,6680,7564,7836,9028,9958,9452,10118,10297,7455
"    234","        Compensation of employees",301,314,349,381,423,481,527,561,633,735,845
"    235","        Taxes on production and imports less subsidies",758,796,791,845,919,1138,1252,1275,1372,1462,1784
"    236","        Gross operating surplus",6347,5682,5540,6338,6494,7409,8179,7615,8114,8099,4826
"    237","    Real estate and rental and leasing",568029,614307,658383,700301,724827,772930,816245,865893,918598,962252,1044516
"    238","      Compensation of employees",36974,40911,43029,44950,44712,46197,48321,51005,53405,56419,61424
"    239","      Taxes on production and imports less subsidies",73539,78584,85866,91252,97941,102138,101098,107168,108122,112824,117635
"    240","      Gross operating surplus",457517,494812,529489,564099,582174,624594,666826,707721,757071,793009,865457
"    241","      Real estate",515725,554397,593621,629850,655933,699859,737570,781155,828771,863394,937699
"    242","        Compensation of employees",27196,29937,31205,31967,32208,33455,34479,36127,36939,38674,42277
"    243","        Taxes on production and imports less subsidies",70357,74932,81906,86846,93276,97276,95823,101375,101900,106114,110561
"    244","        Gross operating surplus",418172,449528,480510,511038,530449,569127,607268,643653,689932,718606,784861
"    245","        Housing","...","...","...","...","...","...","...","...","...","...","..."
"    246","          Compensation of employees","...","...","...","...","...","...","...","...","...","...","..."
"    247","          Taxes on production and imports less subsidies","...","...","...","...","...","...","...","...","...","...","..."
"    248","          Gross operating surplus","...","...","...","...","...","...","...","...","...","...","..."
"    249","        Other real estate","...","...","...","...","...","...","...","...","...","...","..."
"    250","          Compensation of employees","...","...","...","...","...","...","...","...","...","...","..."
"    251","          Taxes on production and imports less subsidies","...","...","...","...","...","...","...","...","...","...","..."
"    252","          Gross operating surplus","...","...","...","...","...","...","...","...","...","...","..."
"    253","      Rental and leasing services and lessors of intangible assets",52304,59910,64762,70451,68894,73072,78674,84738,89828,98859,106817
"    254","        Compensation of employees",9778,10974,11824,12983,12504,12742,13842,14878,16466,17745,19148
"    255","        Taxes on production and imports less subsidies",3182,3652,3960,4406,4665,4862,5275,5793,6222,6710,7074
"    256","        Gross operating surplus",39344,45283,48979,53062,51725,55468,59558,64068,67140,74403,80596
"    257","  Professional and business services",389386,430464,477803,524355,532462,576614,611067,649203,698481,768415,845502
"    258","    Compensation of employees",257195,290879,320312,352578,363065,395853,416660,442025,481135,529955,591808
"    259","    Taxes on production and imports less subsidies",9767,11006,12139,13404,14547,15777,16431,17732,18211,19496,21358
"    260","    Gross operating surplus",122423,128577,145352,158373,154851,164983,177979,189446,199137,218964,232336
"    261","    Professional, scientific, and technical services",224310,258429,289348,320458,326928,354195,372958,393617,420135,461953,503273
"    262","      Compensation of employees",136666,158635,176222,194794,199912,217750,228586,240097,261472,289899,326886
"    263","      Taxes on production and imports less subsidies",5412,6187,6849,7492,8018,8672,8965,9544,9723,10464,11599
"    264","      Gross operating surplus",82230,93606,106277,118173,118999,127774,135408,143975,148941,161590,164787
"    265","      Legal services",59821,70281,76335,83530,86045,93125,95291,96651,98316,104277,107127
"    266","        Compensation of employees",32019,38191,41243,45372,46813,49773,51166,51711,53086,55642,60468
"    267","        Taxes on production and imports less subsidies",3556,3979,4382,4699,4960,5317,5346,5544,5451,5765,6161
"    268","        Gross operating surplus",24245,28110,30709,33460,34273,38036,38779,39396,39779,42869,40498
"    269","      Computer systems design and related services",21689,24560,27857,31062,33327,37171,41332,46285,51815,61742,75259
"    270","        Compensation of employees",18884,21068,23873,26501,28443,31651,34910,39058,44207,52447,64146
"    271","        Taxes on production and imports less subsidies",284,328,366,422,492,557,684,829,946,1110,1448
"    272","        Gross operating surplus",2521,3164,3618,4140,4393,4963,5738,6398,6662,8185,9666
"    273","      Miscellaneous professional, scientific, and technical services",142799,163587,185157,205866,207555,223899,236335,250680,270004,295934,320886
"    274","        Compensation of employees",85763,99375,111106,122922,124656,136326,142510,149328,164178,181809,202273
"    275","        Taxes on production and imports less subsidies",1572,1880,2101,2371,2566,2798,2935,3171,3326,3589,3990
"    276","        Gross operating surplus",55465,62332,71950,80573,80334,84775,90891,98180,102500,110537,114623
"    277","    Management of companies and enterprises",77299,73882,78376,81074,82001,85586,93092,97006,103705,112513,126705
"    278","      Compensation of employees",59805,64028,67727,72210,76731,81940,85453,89815,92446,97679,105913
"    279","      Taxes on production and imports less subsidies",2283,2444,2633,2913,3318,3590,3779,4107,4179,4394,4755
"    280","      Gross operating surplus",15212,7412,8016,5951,1952,56,3861,3084,7080,10440,16037
"    281","    Administrative and waste management services",87777,98153,110078,122823,123533,136833,145017,158580,174641,193948,215524
"    282","      Compensation of employees",60724,68217,76363,85574,86422,96164,102621,112113,127218,142378,159008
"    283","      Taxes on production and imports less subsidies",2072,2375,2657,2999,3211,3515,3687,4081,4309,4637,5004
"    284","      Gross operating surplus",24981,27559,31059,34250,33900,37153,38710,42387,43115,46934,51512
"    285","      Administrative and support services",76641,85628,96172,107788,108322,120124,126930,138865,154034,172685,193590
"    286","        Compensation of employees",54045,60620,68074,76374,77252,86007,91862,100666,115216,130026,146490
"    287","        Taxes on production and imports less subsidies",1398,1575,1767,2020,2200,2392,2475,2710,2861,3106,3401
"    288","        Gross operating surplus",21198,23432,26331,29394,28871,31725,32594,35489,35957,39552,43699
"    289","      Waste management and remediation services",11136,12525,13906,15035,15211,16709,18087,19715,20608,21264,21935
"    290","        Compensation of employees",6679,7597,8289,9200,9171,10157,10759,11446,12001,12352,12518
"    291","        Taxes on production and imports less subsidies",674,800,890,979,1011,1123,1212,1371,1448,1531,1603
"    292","        Gross operating surplus",3782,4127,4727,4856,5029,5428,6117,6898,7159,7382,7814
